Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,claude,text,Direct,15,62.50%,2025-12-24T16:31:49.775193,62.50%,100.00%,50.00%,50.00%,50.00%
上海外滩,deepseek,text,Direct,12,50.00%,2025-12-24T16:33:01.921954,62.50%,25.00%,50.00%,50.00%,50.00%
上海外滩,gemini,text,Direct,21,87.50%,2025-12-24T16:42:18.055651,100.00%,100.00%,100.00%,50.00%,75.00%
上海外滩,openai,text,Direct,10,41.67%,2025-12-24T16:43:15.840880,62.50%,25.00%,50.00%,25.00%,25.00%
上海外滩,qwen,text,Direct,11,45.83%,2025-12-24T16:43:50.069656,50.00%,25.00%,75.00%,25.00%,50.00%
伦敦大本钟,claude,text,Direct,13,54.17%,2025-12-24T17:22:52.361452,50.00%,75.00%,50.00%,25.00%,75.00%
伦敦大本钟,deepseek,text,Direct,14,58.33%,2025-12-24T17:23:53.259306,62.50%,75.00%,75.00%,0.00%,75.00%
伦敦大本钟,gemini,text,Direct,19,79.17%,2025-12-24T17:34:17.925552,100.00%,100.00%,100.00%,25.00%,50.00%
伦敦大本钟,openai,text,Direct,11,45.83%,2025-12-24T17:35:09.266240,37.50%,50.00%,50.00%,25.00%,75.00%
伦敦大本钟,qwen,text,Direct,15,62.50%,2025-12-24T17:35:47.886869,37.50%,50.00%,75.00%,75.00%,100.00%
北京天安门,claude,text,Direct,19,79.17%,2025-12-24T19:30:50.849721,100.00%,75.00%,75.00%,25.00%,100.00%
北京天安门,deepseek,text,Direct,8,33.33%,2025-12-24T19:32:11.225047,50.00%,25.00%,25.00%,25.00%,25.00%
北京天安门,gemini,text,Direct,21,87.50%,2025-12-24T19:42:30.567584,100.00%,100.00%,100.00%,25.00%,100.00%
北京天安门,openai,text,Direct,14,58.33%,2025-12-24T19:44:00.129620,50.00%,25.00%,100.00%,50.00%,75.00%
北京天安门,qwen,text,Direct,17,70.83%,2025-12-24T19:44:45.431233,62.50%,75.00%,100.00%,25.00%,100.00%,
多伦多CN塔,claude,text,Direct,18,75.00%,2025-12-24T20:41:27.090166,62.50%,100.00%,100.00%,75.00%,50.00%
多伦多CN塔,deepseek,text,Direct,12,50.00%,2025-12-24T20:42:29.137618,62.50%,0.00%,50.00%,75.00%,50.00%
多伦多CN塔,gemini,text,Direct,19,79.17%,2025-12-24T20:52:57.018099,100.00%,100.00%,100.00%,25.00%,50.00%
多伦多CN塔,openai,text,Direct,10,41.67%,2025-12-24T20:54:10.530037,37.50%,25.00%,100.00%,50.00%,0.00%
多伦多CN塔,qwen,text,Direct,17,70.83%,2025-12-24T20:54:49.878560,62.50%,75.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,claude,text,Direct,17,70.83%,2025-12-24T20:57:06.068426,75.00%,75.00%,75.00%,50.00%,75.00%
巴黎埃菲尔铁塔,deepseek,text,Direct,10,41.67%,2025-12-24T20:58:24.212193,50.00%,50.00%,100.00%,0.00%,0.00%
巴黎埃菲尔铁塔,gemini,text,Direct,21,87.50%,2025-12-24T21:08:14.228924,100.00%,100.00%,100.00%,25.00%,100.00%
巴黎埃菲尔铁塔,openai,text,Direct,12,50.00%,2025-12-24T21:09:24.681408,50.00%,50.00%,50.00%,50.00%,50.00%
巴黎埃菲尔铁塔,qwen,text,Direct,13,54.17%,2025-12-24T21:10:05.987128,62.50%,25.00%,75.00%,25.00%,75.00%
广州塔,claude,text,Direct,16,66.67%,2025-12-24T21:12:19.916808,75.00%,75.00%,75.00%,25.00%,75.00%
广州塔,deepseek,text,Direct,15,62.50%,2025-12-24T21:13:23.306583,75.00%,100.00%,75.00%,25.00%,25.00%
广州塔,gemini,text,Direct,18,75.00%,2025-12-24T21:23:02.052110,100.00%,100.00%,100.00%,25.00%,25.00%
广州塔,openai,text,Direct,13,54.17%,2025-12-24T21:24:12.461688,62.50%,100.00%,25.00%,25.00%,50.00%
广州塔,qwen,text,Direct,13,54.17%,2025-12-24T21:24:51.616100,50.00%,75.00%,50.00%,25.00%,75.00%
旧金山联合广场,claude,text,Direct,14,58.33%,2025-12-24T21:27:36.166542,62.50%,50.00%,50.00%,50.00%,75.00%
旧金山联合广场,deepseek,text,Direct,11,45.83%,2025-12-24T21:28:57.732024,37.50%,75.00%,75.00%,25.00%,25.00%
旧金山联合广场,gemini,text,Direct,18,75.00%,2025-12-24T21:40:56.279832,62.50%,75.00%,100.00%,75.00%,75.00%
旧金山联合广场,openai,text,Direct,7,29.17%,2025-12-24T21:42:08.500727,50.00%,25.00%,50.00%,0.00%,0.00%
旧金山联合广场,qwen,text,Direct,12,50.00%,2025-12-24T21:42:51.685812,25.00%,75.00%,75.00%,50.00%,50.00%
柏林勃兰登堡门,claude,text,Direct,13,54.17%,2025-12-24T21:45:54.094752,50.00%,100.00%,25.00%,75.00%,25.00%
柏林勃兰登堡门,deepseek,text,Direct,12,50.00%,2025-12-24T21:47:11.279431,75.00%,50.00%,75.00%,25.00%,0.00%
柏林勃兰登堡门,gemini,text,Direct,17,70.83%,2025-12-24T21:59:37.691321,100.00%,100.00%,75.00%,25.00%,25.00%
柏林勃兰登堡门,openai,text,Direct,11,45.83%,2025-12-24T22:00:49.755536,75.00%,0.00%,50.00%,25.00%,50.00%
柏林勃兰登堡门,qwen,text,Direct,9,37.50%,2025-12-24T22:01:26.531723,37.50%,25.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,claude,text,Direct,14,58.33%,2025-12-24T22:04:15.932670,75.00%,50.00%,50.00%,50.00%,50.00%
武汉黄鹤楼,deepseek,text,Direct,10,41.67%,2025-12-24T22:05:42.075652,62.50%,50.00%,0.00%,50.00%,25.00%
武汉黄鹤楼,gemini,text,Direct,18,75.00%,2025-12-24T22:15:47.731268,100.00%,100.00%,100.00%,0.00%,50.00%
武汉黄鹤楼,openai,text,Direct,10,41.67%,2025-12-24T22:17:00.809040,37.50%,0.00%,50.00%,50.00%,75.00%
武汉黄鹤楼,qwen,text,Direct,13,54.17%,2025-12-24T22:17:53.034406,50.00%,50.00%,75.00%,50.00%,50.00%
洛杉矶好莱坞,claude,text,Direct,16,66.67%,2025-12-24T22:21:46.212931,50.00%,100.00%,50.00%,75.00%,75.00%
洛杉矶好莱坞,deepseek,text,Direct,12,50.00%,2025-12-24T22:23:05.817732,62.50%,25.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,gemini,text,Direct,19,79.17%,2025-12-24T22:34:20.769994,87.50%,100.00%,100.00%,25.00%,75.00%
洛杉矶好莱坞,openai,text,Direct,10,41.67%,2025-12-24T22:35:42.433235,25.00%,50.00%,75.00%,0.00%,75.00%
洛杉矶好莱坞,qwen,text,Direct,6,25.00%,2025-12-24T22:36:20.368791,25.00%,25.00%,0.00%,0.00%,75.00%
纽约时代广场,claude,text,Direct,12,50.00%,2025-12-24T22:38:31.612141,25.00%,25.00%,75.00%,50.00%,100.00%
纽约时代广场,deepseek,text,Direct,8,33.33%,2025-12-24T22:39:54.882022,37.50%,0.00%,75.00%,50.00%,0.00%
纽约时代广场,gemini,text,Direct,16,66.67%,2025-12-24T22:51:12.230359,75.00%,75.00%,75.00%,25.00%,75.00%
纽约时代广场,openai,text,Direct,9,37.50%,2025-12-24T22:52:29.474102,25.00%,25.00%,75.00%,50.00%,25.00%
纽约时代广场,qwen,text,Direct,13,54.17%,2025-12-24T22:53:09.832180,37.50%,0.00%,75.00%,75.00%,100.00%
维也纳美泉宫,claude,text,Direct,17,70.83%,2025-12-24T22:56:34.963165,100.00%,75.00%,75.00%,25.00%,50.00%
维也纳美泉宫,deepseek,text,Direct,9,37.50%,2025-12-24T22:58:02.484325,50.00%,0.00%,75.00%,25.00%,25.00%
维也纳美泉宫,gemini,text,Direct,20,83.33%,2025-12-24T23:10:38.201109,100.00%,75.00%,100.00%,25.00%,100.00%
维也纳美泉宫,openai,text,Direct,8,33.33%,2025-12-24T23:11:50.894443,62.50%,0.00%,0.00%,0.00%,75.00%
维也纳美泉宫,qwen,text,Direct,16,66.67%,2025-12-24T23:12:35.577567,75.00%,50.00%,50.00%,75.00%,75.00%
罗马斗兽场,claude,text,Direct,15,62.50%,2025-12-24T23:15:42.413908,37.50%,100.00%,50.00%,75.00%,75.00%
罗马斗兽场,deepseek,text,Direct,15,62.50%,2025-12-24T23:17:01.520268,87.50%,75.00%,75.00%,50.00%,0.00%
罗马斗兽场,gemini,text,Direct,22,91.67%,2025-12-24T23:27:08.516849,87.50%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,openai,text,Direct,10,41.67%,2025-12-24T23:28:19.781838,37.50%,25.00%,50.00%,50.00%,50.00%
罗马斗兽场,qwen,text,Direct,17,70.83%,2025-12-24T23:29:06.068899,50.00%,50.00%,100.00%,75.00%,100.00%
芝加哥千禧公园,claude,text,Direct,13,54.17%,2025-12-24T23:31:53.764984,62.50%,75.00%,50.00%,75.00%,0.00%
芝加哥千禧公园,deepseek,text,Direct,13,54.17%,2025-12-24T23:33:12.489364,50.00%,75.00%,50.00%,25.00%,75.00%
芝加哥千禧公园,gemini,text,Direct,16,66.67%,2025-12-24T23:44:41.239050,62.50%,100.00%,75.00%,50.00%,50.00%
芝加哥千禧公园,openai,text,Direct,10,41.67%,2025-12-24T23:45:54.385915,37.50%,50.00%,100.00%,25.00%,0.00%
芝加哥千禧公园,qwen,text,Direct,9,37.50%,2025-12-24T23:46:32.780028,50.00%,0.00%,75.00%,25.00%,25.00%
长沙五一广场,claude,text,Direct,13,54.17%,2025-12-24T23:49:13.663625,62.50%,100.00%,25.00%,50.00%,25.00%
长沙五一广场,deepseek,text,Direct,12,50.00%,2025-12-24T23:50:33.479703,62.50%,50.00%,75.00%,25.00%,25.00%
长沙五一广场,gemini,text,Direct,20,83.33%,2025-12-25T00:03:04.697561,100.00%,100.00%,100.00%,25.00%,75.00%
长沙五一广场,openai,text,Direct,15,62.50%,2025-12-25T00:04:16.347430,75.00%,25.00%,75.00%,50.00%,75.00%
长沙五一广场,qwen,text,Direct,10,41.67%,2025-12-25T00:04:55.678897,25.00%,25.00%,25.00%,100.00%,50.00%
